"","date","output_per_hour","hours","GDPDEF","dyn","dh","pi"
"1",1968-07-01,40.977,55.333,18.349,0.0390539193130035,0.70367906750155,0.974816043589666
"2",1968-10-01,40.879,55.677,18.608,-0.239444993214111,0.619765969037456,1.40165186734924
"3",1969-01-01,41.204,56.198,18.8,0.791885526472402,0.931403381351714,1.0265274059595
"4",1969-04-01,40.867,56.718,19.039,-0.82124476138592,0.921045159350786,1.26326371396357
"5",1969-07-01,40.909,56.998,19.307,0.102719633371562,0.492455882836129,1.39782174781402
"6",1969-10-01,40.703,56.836,19.556,-0.504828793549805,-0.284625172383457,1.28144202627194
"7",1970-01-01,40.829,56.614,19.832,0.309081343050144,-0.391362332929468,1.40146500164904
"8",1970-04-01,41.426,55.878,20.108,1.45160897970245,-1.30855616789587,1.38209510974394
"9",1970-07-01,42.076,55.604,20.273,1.55688038436965,-0.491560165272986,0.817220565572807
"10",1970-10-01,41.69,55.183,20.541,-0.921621498432224,-0.760020627910052,1.31329373209788
"11",1971-01-01,42.925,55.438,20.853,2.91931148908335,0.46103443591079,1.50749339794229
"12",1971-04-01,43.047,55.621,21.127,0.283813525083998,0.329554859353554,1.3054020531639
"13",1971-07-01,43.454,55.624,21.342,0.941036527867034,0.00539350083279544,1.01251188762754
"14",1971-10-01,43.077,56.218,21.52,-0.871369533270006,1.06222275202432,0.830577309921043
"15",1972-01-01,43.751,56.853,21.848,1.55252577049105,1.12319989358225,1.51266488778203
"16",1972-04-01,44.613,57.266,21.984,1.95108266893964,0.723809011796206,0.620553186853501
"17",1972-07-01,44.869,57.592,22.194,0.572183675913562,0.56765897962574,0.95070660384331
"18",1972-10-01,45.248,58.197,22.477,0.841133714031539,1.04501378500768,1.26705820843185
"19",1973-01-01,46.272,59.069,22.736,2.23785562621921,1.48724450915587,1.14570071920546
"20",1973-04-01,46.289,59.686,23.086,0.0367325335533408,1.03912349264732,1.52768018379756
"21",1973-07-01,45.855,60.089,23.535,-0.942010786092551,0.672930946814088,1.9262301660385
"22",1973-10-01,45.57,60.39,24.004,-0.623463873511598,0.499673181655869,1.97318082741611
"23",1974-01-01,45.46,60.141,24.457,-0.241678685139401,-0.413172302936182,1.86959903865072
"24",1974-04-01,45.324,60.304,25.035,-0.299612490607748,0.270663123433135,2.33583722681341
"25",1974-07-01,44.859,60.099,25.769,-1.03124562485037,-0.340523405715487,2.88973733176427
"26",1974-10-01,45.259,59.117,26.527,0.887730812674947,-1.64746713641968,2.89908631235205
"27",1975-01-01,45.595,57.287,27.13,0.739651598906299,-3.14448092137587,2.24770444477693
"28",1975-04-01,46.319,56.763,27.533,1.57541826996073,-0.918901687193596,1.47451585771674
"29",1975-07-01,46.885,57.28,28.019,1.21455507863524,0.906681763465667,1.74975662302739
"30",1975-10-01,46.936,58.256,28.488,0.108717675197045,1.68955687806873,1.66000944971949
"31",1976-01-01,47.631,59.214,28.789,1.46988381399256,1.63109089848481,1.05104237626215
"32",1976-04-01,48.069,59.246,29.079,0.91536689303684,0.0540266769852416,1.00228944404823
"33",1976-07-01,48.182,59.483,29.455,0.234802863172989,0.399229025398906,1.28474107950702
"34",1976-10-01,48.32,59.803,29.983,0.286004630097692,0.536526948056615,1.77668794056025
"35",1977-01-01,48.632,60.434,30.465,0.643619681986207,1.04960335491198,1.59479293212046
"36",1977-04-01,48.831,61.58,30.895,0.408360663104945,1.87852820249015,1.40158748124852
"37",1977-07-01,49.343,62.242,31.271,1.04305547695809,1.06928705335987,1.20967919785713
"38",1977-10-01,48.715,62.855,31.947,-1.28089209697473,0.980047333684109,2.13871292098422
"39",1978-01-01,48.743,63.147,32.411,0.0574606512967701,0.463485536302066,1.44195916505869
"40",1978-04-01,49.712,64.986,33.031,1.96847552604194,2.87065203518404,1.89486430995758
"41",1978-07-01,49.743,65.536,33.592,0.0623397536653858,0.842774789533252,1.68414289303729
"42",1978-10-01,50.07,66.329,34.279,0.655227615450782,1.20275973123514,2.02449783936016
"43",1979-01-01,49.615,66.806,34.904,-0.912881897564866,0.716568957893493,1.80685140458148
"44",1979-04-01,49.523,67.019,35.759,-0.185599924165514,0.31832644104437,2.42005498871825
"45",1979-07-01,49.463,67.631,36.541,-0.121229279591617,0.909029653623783,2.16329321356392
"46",1979-10-01,49.405,67.785,37.219,-0.117328168170738,0.227447371639666,1.83844657333845
"47",1980-01-01,49.639,67.622,38.001,0.47251814422471,-0.240755764079381,2.07930915920906
"48",1980-04-01,49.122,66.401,38.905,-1.0469815466807,-1.82212572806106,2.35103018992882
"49",1980-07-01,49.316,66.098,39.774,0.394157238394044,-0.45736273961472,2.20906554184159
"50",1980-10-01,49.817,66.987,40.81,1.01077192342154,1.3360081500192,2.57137169304049
"51",1981-01-01,50.584,67.373,41.885,1.52790295157903,0.574577347345873,2.60006181880583
