"","date","output_per_hour","hours","GDPDEF","dyn","dh","pi"
"1",1947-07-01,22.065,41.907,11.489,-3.10998361381873,0.272401602132621,1.66758296441185
"2",1947-10-01,22.993,42.313,11.772,4.1197179058353,0.964149002814763,2.43337744999987
"3",1948-01-01,23.097,42.582,11.865,0.451291718415847,0.633726132922963,0.786905951650052
"4",1948-04-01,23.036,42.564,11.972,-0.264452931959624,-0.0422803191415966,0.897770010272536
"5",1948-07-01,23.061,42.864,12.193,0.108466939067853,0.702348722276813,1.8291426587675
"6",1948-10-01,23.162,42.471,12.23,0.43701257270814,-0.921082272178309,0.302993312095357
"7",1949-01-01,23.398,41.756,12.165,1.01375438632241,-1.6978336534418,-0.532897346359507
"8",1949-04-01,23.639,41.068,12.043,1.02473418333342,-1.66139241093335,-1.0079397957143
"9",1949-07-01,24.204,40.626,11.988,2.36200183013309,-1.0820973705155,-0.457742882392642
"10",1949-10-01,24.073,40.452,11.989,-0.542702825463248,-0.429216969163937,0.00834132711000635
"11",1950-01-01,24.899,40.769,11.97,3.3736761516189,0.780590265132819,-0.158604315563471
"12",1950-04-01,25.205,41.777,12.011,1.22147455129626,2.44239601678475,0.341937700247108
"13",1950-07-01,25.752,43.091,12.272,2.14699064619128,3.09682097400223,2.14973480525473
"14",1950-10-01,25.799,43.49,12.502,0.182343748996594,0.921686801042476,1.85683868847204
"15",1951-01-01,25.827,44.221,12.953,0.108472485745459,1.66687627657747,3.54387900384983
"16",1951-04-01,25.747,44.575,13.039,-0.310234087576911,0.797337437388279,0.661744489321636
"17",1951-07-01,26.319,44.148,13.047,2.19729963461979,-0.962553783856679,0.061335584227562
"18",1951-10-01,26.398,44.17,13.196,0.299713789240652,0.0498199697797741,1.1355531082724
"19",1952-01-01,26.533,44.455,13.19,0.510099158248156,0.64316159646669,-0.0454786637111848
"20",1952-04-01,26.48,44.268,13.206,-0.19995102204371,-0.42153731705632,0.121230504315628
"21",1952-07-01,26.35,44.588,13.354,-0.492145608143568,0.720269612483815,1.11446936632977
"22",1952-10-01,26.908,45.771,13.39,2.0955365175988,2.61859382717975,0.269219426740408
"23",1953-01-01,27.143,46.241,13.393,0.869554608585776,1.02161476286802,0.0224022701903692
"24",1953-04-01,27.207,46.326,13.42,0.235510688432328,0.183650812687874,0.201394913855069
"25",1953-07-01,27.322,45.871,13.476,0.421794533175479,-0.987024944206016,0.416419400077084
"26",1953-10-01,27.226,45.155,13.501,-0.351983937501421,-1.57320934099112,0.185343123080273
"27",1954-01-01,27.283,44.548,13.544,0.209139851313589,-1.35337561719084,0.317988805572522
"28",1954-04-01,27.473,44.214,13.556,0.693990658810684,-0.752577851793657,0.0885608913970604
"29",1954-07-01,27.968,44.043,13.574,1.78572952816012,-0.387505158748436,0.132694453676141
"30",1954-10-01,28.283,44.588,13.611,1.11999179657207,1.22983351019443,0.272209106837007
"31",1955-01-01,28.841,45.304,13.675,1.95370684405716,1.5930564284127,0.46910589581084
"32",1955-04-01,28.94,45.898,13.731,0.342673532392057,1.30262143209161,0.40867020315698
"33",1955-07-01,29.045,46.379,13.827,0.36216302411578,1.04252274448431,0.696715206686616
"34",1955-10-01,28.941,46.937,13.964,-0.358707658796975,1.19595064269702,0.985938683630883
"35",1956-01-01,28.592,47.224,14.104,-1.2132316439454,0.609596093415465,0.99758558527796
